symbol
AAL
AAPL
AMD
AMZN
AVGO
B
BAC
BAX
BKR
BMY
BP
BSX
C
CAG
CCL
CDE
CIFR
CMCSA
CMG
CORZ
CPB
CPNG
CPRT
CRM
CSCO
CSX
CTRA
DAL
DKNG
DOW
DVN
EQT
EQX
EXC
F
FCX
FITB
GAP
GIS
GLW
GOOGL
HAL
HBAN
HIMS
HL
HOOD
HPE
HPQ
INFY
INTC
IONQ
IREN
JD
KDP
KEY
KGC
KHC
KMI
KO
KVUE
LUV
MDLZ
MOS
MRVL
MSFT
MU
NCLH
NKE
NU
NVDA
NVO
ORCL
OXY
PATH
PCG
PFE
PINS
PLTR
PR
PYPL
QBTS
RF
RGTI
RIOT
RIVN
RKT
SLB
SMCI
SOFI
T
TFC
TOST
TSLA
TTD
UBER
USB
VZ
WBD
WFC
WMT
WULF
XOM
