timeframe,symbol,row_count,unique_trading_days,coverage_ratio,stale,schema_ok,interval_alignment_ok,passes,failure_reason
1m,RF,86999,265,0.8417900338655055,False,True,True,True,
1m,HL,82949,265,0.8026028059990324,False,True,True,True,
1m,IONQ,44632,119,0.9616892911010558,False,True,True,True,
1m,KDP,90632,265,0.8769424286405418,False,True,True,True,
1m,PR,37908,119,0.8168067226890756,False,True,True,True,
1m,RIVN,44287,119,0.9542555483731955,False,True,True,True,
1m,FIG,47314,176,0.6893065268065268,False,True,True,False,coverage
1m,JD,39379,119,0.8485024779142426,False,True,True,True,
1m,QBTS,45688,119,0.9844430079724198,False,True,True,True,
1m,GAP,42489,119,0.915513897866839,False,True,True,True,
5m,NVDA,22653,265,1.0,False,True,True,True,
5m,AMZN,20788,265,1.0,False,True,True,True,
5m,MSFT,20857,265,1.0,False,True,True,True,
5m,AAPL,20958,265,1.0,False,True,True,True,
5m,TSLA,21625,265,1.0,False,True,True,True,
5m,MU,20866,265,1.0,False,True,True,True,
5m,AVGO,21040,265,1.0,False,True,True,True,
5m,GOOGL,20981,265,1.0,False,True,True,True,
5m,AMD,21135,265,1.0,False,True,True,True,
5m,XOM,20514,265,0.9924528301886792,False,True,True,True,
5m,INTC,22954,265,1.0,False,True,True,True,
5m,BAC,20542,265,0.993807450411224,False,True,True,True,
5m,CRM,20416,265,0.9877116594097726,False,True,True,True,
5m,PLTR,21308,265,1.0,False,True,True,True,
5m,CSCO,20552,265,0.9942912433478471,False,True,True,True,
5m,ORCL,21054,265,1.0,False,True,True,True,
5m,WMT,20529,265,0.9931785195936139,False,True,True,True,
5m,NOW,16910,265,0.8180938558297048,False,True,True,False,coverage
5m,WFC,20519,265,0.9926947266569908,False,True,True,True,
5m,GLW,20370,265,0.9854862119013063,False,True,True,True,
5m,KO,20501,265,0.9918238993710692,False,True,True,True,
5m,VZ,20511,265,0.9923076923076923,False,True,True,True,
5m,T,20560,265,0.9946782776971457,False,True,True,True,
5m,FCX,20521,265,0.9927914852443155,False,True,True,True,
5m,C,20516,265,0.9925495887760039,False,True,True,True,
5m,UBER,20550,265,0.9941944847605225,False,True,True,True,
5m,PFE,22523,265,1.0,False,True,True,True,
5m,CMCSA,20520,265,0.9927431059506531,False,True,True,True,
5m,PYPL,20559,265,0.9946298984034833,False,True,True,True,
5m,SLB,20512,265,0.9923560716013546,False,True,True,True,
5m,WBD,20567,265,0.9950169327527818,False,True,True,True,
5m,BSX,20433,265,0.988534107402032,False,True,True,True,
5m,BMY,20503,265,0.9919206579583938,False,True,True,True,
5m,NKE,20547,265,0.9940493468795356,False,True,True,True,
5m,KKR,20256,265,0.9799709724238026,False,True,True,True,
5m,MRVL,15811,203,0.9985474295819123,False,True,True,True,
5m,DAL,20502,265,0.9918722786647315,False,True,True,True,
5m,CRWV,19444,247,1.0,False,True,True,True,
5m,B,20416,264,0.9914529914529915,False,True,True,True,
5m,DVN,20482,265,0.9909046927914853,False,True,True,True,
5m,NVO,20835,265,1.0,False,True,True,True,
5m,SOFI,21574,265,1.0,False,True,True,True,
5m,CSX,20500,265,0.9917755200774069,False,True,True,True,
5m,OXY,20518,265,0.9926463473633285,False,True,True,True,
5m,HOOD,21065,265,1.0,False,True,True,True,
5m,CCL,20590,265,0.996129656507015,False,True,True,True,
5m,HAL,20497,265,0.99163038219642,False,True,True,True,
5m,CMG,20538,265,0.9936139332365748,False,True,True,True,
5m,MDLZ,20482,265,0.9909046927914853,False,True,True,True,
5m,PBR,20519,265,0.9926947266569908,False,True,True,True,
5m,CNQ,20314,265,0.9827769714562168,False,True,True,True,
5m,BP,21577,265,1.0,False,True,True,True,
5m,USB,20482,265,0.9909046927914853,False,True,True,True,
5m,EXC,20465,265,0.9900822447992259,False,True,True,True,
5m,EQT,20484,265,0.9910014513788099,False,True,True,True,
5m,BKR,15656,203,0.9887583680687129,False,True,True,True,
5m,SMCI,21037,265,1.0,False,True,True,True,
5m,DOW,20507,265,0.992114175133043,False,True,True,True,
5m,FITB,20398,265,0.986840832123851,False,True,True,True,
5m,VALE,20502,265,0.9918722786647315,False,True,True,True,
5m,BMNR,14839,199,0.9559979384099987,False,True,True,True,
