symbol,strategy,broker_mode,ownership_class,signal_source,entry_ts,exit_ts,entry_price,exit_price,qty,gross_pnl,commission_fee,sec_fee,taf_fee,cat_fee,borrow_fee,margin_interest,allocated_data_cost,net_pnl_after_fees,net_pnl_after_fees_and_platform_cost,fee_schedule_version,fee_schedule_effective_date,realized_pnl,realized_return_pct,win_loss_flag,session_id,run_id,exit_session_id,exit_run_id,entry_order_id,exit_order_id,exit_reason
AMZN,scalping,alpaca_paper_api,bot_owned,qlib_plus_rules,2026-03-20T13:31:53.481060Z,2026-03-20T13:33:33.471952Z,205.39,205.43625,8.0,0.37000000000011823,0.0,0.0,0.001328,0.000212,0.0,0.0,0.0,0.36846000000011825,0.36846000000011825,alpaca_public_schedule_2026-03-20,2026-03-20,0.37000000000011823,0.0225181362286454,win,ed8a5116-081f-4bbb-b28e-f0e465b0326e,61cab03f-45c6-4067-bad5-753d12a23f65,ed8a5116-081f-4bbb-b28e-f0e465b0326e,61cab03f-45c6-4067-bad5-753d12a23f65,dd82f4aa-a18f-4452-bb70-852dbb762188,ef2d56b2-9a19-45bd-b351-c76887c4d550,
RDY,scalping,alpaca_paper_api,bot_owned,qlib_plus_rules,2026-03-27T16:50:02.377789Z,2026-03-27T19:45:34.584853Z,13.59,13.48,1.0,-0.10999999999999943,0.0,0.0,0.000166,2.65e-05,0.0,0.0,0.0,-0.11019249999999943,-0.11019249999999943,alpaca_public_schedule_2026-03-20,2026-03-20,-0.10999999999999943,-0.809418690213388,loss,2868ee59-a601-40fb-a9ce-dedcc7d96f37,4aa53632-cd5a-4f24-a41d-cfd54fee94d3,2868ee59-a601-40fb-a9ce-dedcc7d96f37,4aa53632-cd5a-4f24-a41d-cfd54fee94d3,11da75d6-4f4a-40da-ad9b-aa945e7cacfe,7e2a8af9-3a87-4aad-a339-737ec9ad9a8b,
